0.668,0,0,33249,66751,,,,,,,,,,,,,
0.652,0,0,34784,65216,,,,,,,,,,,,,
0.393,0,0,60743,39257,,,,,,,,,,,,,
0.459,0,0,54145,45855,,,,,,,,,,,,,
0.354,0,0,64595,35405,,,,,,,,,,,,,
0.655,27720,14180,8523,15391,,,,,,,,,,,,,
0.82,5938,684,17124,75461,,,,,,,,,,,,,
0.7,27942,16082,12874,39686,,,,,,,,,,,,,
0.74,12869,3977,10742,29046,,,,,,,,,,,,,
0.693,26163,11804,9364,21515,,,,,,,,,,,,,
0.668,43513,19707,8710,13698,,,,,,,,,,,,,
0.698,20494,11950,8905,27666,,,,,,,,,,,,,
0.813,5911,1395,17163,74764,,,,,,,,,,,,,
0.701,31281,16703,9850,31099,,,,,,,,,,,,,
0.708,14759,5964,11497,27660,,,,,,,,,,,,,
0.705,30943,12472,9053,20524,,,,,,,,,,,,,
0.637,44804,22876,8423,10088,,,,,,,,,,,,,
0.754,13371,7527,10043,40611,,,,,,,,,,,,,
0.789,6305,3535,17409,71891,,,,,,,,,,,,,
0.693,28756,15359,9362,26990,,,,,,,,,,,,,
0.686,18509,8315,10921,23544,,,,,,,,,,,,,
0.715,37075,13284,9412,19973,,,,,,,,,,,,,
0.619,40623,24781,7064,11136,,,,,,,,,,,,,
0.774,8357,2651,14506,50274,,,,,,,,,,,,,
0.755,8914,8735,15573,65890,,,,,,,,,,,,,
0.727,27206,10673,9138,25591,,,,,,,,,,,,,
0.652,19004,11561,10341,22119,,,,,,,,,,,,,
0.724,42394,14754,8382,18156,,,,,,,,,,,,,
0.631,33761,20112,8207,14639,,,,,,,,,,,,,
0.789,6962,1955,16161,60658,,,,,,,,,,,,,
0.716,17611,13332,14705,53106,,,,,,,,,,,,,
0.744,20697,7498,8772,26527,,,,,,,,,,,,,
0.655,21426,13507,9671,22635,,,,,,,,,,,,,
0.699,44063,17760,8351,16506,,,,,,,,,,,,,
0.636,28980,15324,8809,13105,,,,,,,,,,,,,
0.819,6732,1251,16629,73926,,,,,,,,,,,,,
0.704,27406,16580,12377,41382,,,,,,,,,,,,,
0.715,13896,6330,10484,28344,,,,,,,,,,,,,
0.664,25694,13901,9631,20758,,,,,,,,,,,,,
0.677,43782,19359,8654,14863,,,,,,,,,,,,,
0.685,22517,12783,8866,24535,,,,,,,,,,,,,
0.819,7039,1411,16538,74229,,,,,,,,,,,,,
0.701,30792,17421,9930,33442,,,,,,,,,,,,,
0.687,14449,7109,11751,27028,,,,,,,,,,,,,
0.695,30284,13285,9013,20506,,,,,,,,,,,,,
0.643,44312,21825,8886,10913,,,,,,,,,,,,,
0.741,15586,9012,9500,37293,,,,,,,,,,,,,
0.789,6509,3830,17046,71713,,,,,,,,,,,,,
0.703,29758,15486,9258,28787,,,,,,,,,,,,,
0.672,17733,9087,11093,23650,,,,,,,,,,,,,
0.707,35575,13393,9590,19841,,,,,,,,,,,,,
0.622,42349,24497,7245,9903,,,,,,,,,,,,,
0.774,9605,3815,13176,48722,,,,,,,,,,,,,
0.769,8747,7474,15406,67429,,,,,,,,,,,,,
0.707,27453,12916,9148,25724,,,,,,,,,,,,,
0.648,19147,11356,10691,21521,,,,,,,,,,,,,
0.728,42149,13928,8632,18374,,,,,,,,,,,,,
0.622,34942,22249,8047,14958,,,,,,,,,,,,,
0.78,7045,1982,15964,56512,,,,,,,,,,,,,
0.725,15537,13041,14107,56198,,,,,,,,,,,,,
0.74,22624,8142,9056,26240,,,,,,,,,,,,,
0.641,20558,14090,9607,21739,,,,,,,,,,,,,
0.708,43988,17328,7992,17422,,,,,,,,,,,,,
0.637,30288,15824,9097,13359,,,,,,,,,,,,,
0.807,7004,1718,16767,70112,,,,,,,,,,,,,
0.707,25429,16434,12258,43958,,,,,,,,,,,,,
0.723,15370,6642,10003,28128,,,,,,,,,,,,,
0.653,24448,14362,9899,21117,,,,,,,,,,,,,
0.679,43833,19156,8715,15148,,,,,,,,,,,,,
0.681,24664,12964,8719,21630,,,,,,,,,,,,,
0.82,7429,1524,16346,73896,,,,,,,,,,,,,
0.701,30173,17604,10427,35543,,,,,,,,,,,,,
0.69,13857,6981,11607,27423,,,,,,,,,,,,,
0.683,29165,13905,8998,20287,,,,,,,,,,,,,
0.654,44296,20877,8935,12091,,,,,,,,,,,,,
0.723,17460,10090,9535,33658,,,,,,,,,,,,,
